エリア,ショップ名,URL,電話番号,レビューサイト,評価,レビュー数,専門・特徴,主なダイビングポイント,料金（2ダイブ目安）,備考
宮古島,BIGHOLIDAY-TRIP,https://www.bigholiday-trip.com/,0980-74-7030,Googleマップ,4.7,210,八重干瀬(ヤビジ)専門、シュノーケル,八重干瀬,"¥16,000",「日本のグレートバリアリーフ」八重干瀬ツアー。
宮古島,カラカラ先生のダイビングショップ,https://www.karakara-sensei.com/,0980-73-7443,Googleマップ,5,83,少人数、のんびり、フォト派、地形,伊良部島・下地島エリア,"¥16,000",オーナーの人柄が人気。リピーターが多い。
宮古島,カピリナ,https://kapilina.okinawa/,0980-79-5991,Googleマップ,5,165,少人数、初心者、体験ダイビング、地形,伊良部島・下地島エリア,"¥16,000",親切・丁寧なガイドで評価が非常に高い。
宮古島,エコガイドカフェ,https://www.eco-guide-cafe.com/,0980-74-7270,Googleマップ,4.9,110,少人数、エコツアー、地形,伊良部島・下地島エリア、八重干瀬,"¥16,000",生態系に詳しいガイド。エコツアーも人気。
宮古島,宮古島ダイビングショップKAZA,https://kaza-miyako.com/,0980-79-5639,Googleマップ,5,95,少人数、初心者、体験、地形,伊良部島・下地島エリア,"¥15,000",2020年オープンの新しいショップ。
宮古島,Good Day,https://goodday-miyakojima.com/,0980-79-0144,Googleマップ,5,108,少人数、初心者、体験、地形,伊良部島・下地島エリア,"¥17,000",設備が綺麗でサービスが良いと評判。
宮古島,ユートピア,https://www.miyako-utopia.com/,0980-76-2224,Googleマップ,4.8,75,少人数、ベテラン、地形,魔王の宮殿、通り池などリクエストベース,"¥15,000",経験豊富なガイド。リクエストの柔軟性が高い。
宮古島,日出ダイビングサービス,https://www.hinode-ds.com/,0980-73-6552,Googleマップ,4.9,60,少人数、ベテラン、地形、大物,伊良部島・下地島エリア,"¥15,000",20年以上の老舗。
宮古島,宮古島ダイビングサポート,https://www.miyako-ds.com/,0980-73-8237,Googleマップ,4.9,55,少人数、フォト派、地形,伊良部島・下地島エリア,"¥15,000",写真撮影に特化したコースあり。
宮古島,フィッシュ・ア・ゴーゴー,https://www.fish-a-gogo.com/,0980-73-0105,Googleマップ,4.8,68,少人数、リクエストベース、地形,伊良部島・下地島エリア,"¥16,000",柔軟な対応が魅力。
宮古島,海のメグミ,https://www.uminomegumi.jp/,0980-73-4567,Googleマップ,4.9,70,女性インストラクター、初心者、少人数,伊良部島・下地島エリア,"¥16,000",女性ならではのきめ細やかなサービス。
宮古島,アクアティックアドベンチャー,https://www.aquatic-adventure.com/,0980-73-3539,Googleマップ,4.7,80,自社ボート、地形、大物,伊良部島・下地島エリア,"¥16,500",大型ボートで快適。
宮古島,サマーパーティー,https://www.summer-party.jp/,0980-73-7937,Googleマップ,4.8,90,体験ダイビング、シュノーケル,宮古島近海、来間島,"¥14,000",半日コースが充実。
宮古島,ブルーリング,https://bluering.jp/,0980-79-9950,Googleマップ,5,50,少人数、体験ダイビング、初心者,宮古島南部、来間島,"¥16,000",1日2組限定。
宮古島,マリンハウス ”KAI”,https://kai-miyako.com/,0980-73-9252,Googleマップ,4.7,65,少人数、地形、ベテラン,伊良部島・下地島エリア,"¥15,000",30年以上の歴史を持つ老舗。
宮古島,24°NORTH,https://24-north.com/,0980-73-7724,Googleマップ,4.8,45,少人数、地形、マクロ,伊良部島・下地島エリア,"¥16,000",オーナーガイド制。
宮古島,セブンシーズ,https://www.sevenseas-miyako.com/,0980-75-3433,Googleマップ,4.9,58,少人数、初心者、体験、地形,伊良部島・下地島エリア,"¥16,500",2017年オープン。
宮古島,ダイビングサービスひでsun,https://www.hidesun.net/,0980-72-8882,Googleマップ,4.9,40,少人数、アットホーム,伊良部島・下地島エリア,"¥15,000",アットホームな雰囲気が人気。
宮古島,ウォーターマン,https://www.waterman-miyako.com/,0980-75-3130,Googleマップ,4.8,50,少人数、地形、ワイド,伊良部島・下地島エリア,"¥16,000",ワイドな景観を楽しむダイビング。
宮古島,ダイビングショップ空,https://www.sora-miyako.com/,0980-79-0551,Googleマップ,5,35,少人数、初心者、体験,宮古島近海,"¥15,000",2021年オープン。
宮古島,ヘルパーダイバーズ,https://www.helper-divers.com/,0980-72-5559,Googleマップ,4.7,42,少人数、ベテラン,伊良部島・下地島エリア,"¥14,000",料金が比較的リーズナブル。
宮古島,アイランド・カラー,https://www.island-color.com/,0980-75-2250,Googleマップ,4.8,60,シュノーケル、カヤック,八重干瀬、大神島,-,ダイビングは現在休止中の可能性あり。
宮古島,かぎすま,https://www.kagisuma.com/,0980-75-4330,Googleマップ,4.9,50,八重干瀬専門、シュノーケル,八重干瀬,"¥15,000",八重干瀬を知り尽くした船長。
宮古島,Dolphin,https://www.dolphin-miyako.com/,0980-72-9655,Googleマップ,4.8,48,少人数、地形、フォト,伊良部島・下地島エリア,"¥16,000",撮影機材のレンタルが充実。
宮古島,Southern Cross,https://www.southern-cross.jp/,0980-73-0402,Googleマップ,4.7,55,少人数、ベテラン,伊良部島・下地島エリア,"¥15,500",1996年創業の老舗。
宮古島,わとわダイビングサービス,https://www.watowa.net/,0980-79-5775,Googleマップ,5,45,少人数、初心者、地形,伊良部島・下地島エリア,"¥16,000",2019年オープン。
宮古島,ダイビングショップ Breath,https://www.breath-miyako.com/,0980-79-9133,Googleマップ,5,38,少人数、のんびり、地形,伊良部島・下地島エリア,"¥16,500",1日最大6名まで。
宮古島,宮古島ダイビングCONNECTION,https://www.miyako-connection.com/,0980-79-5830,Googleマップ,4.9,52,少人数、初心者、地形,伊良部島・下地島エリア,"¥16,000",伊良部島に店舗がある。
宮古島,Blue Coco,https://bluecoco-miyako.com/,0980-79-5880,Googleマップ,5,40,少人数、体験ダイビング,宮古島南部,"¥15,500",ビーチエントリーの体験ダイビング。
宮古島,オーシャントライブ,https://ocean-tribe.jp/,0980-79-9880,Googleマップ,4.8,70,SUP、シュノーケル,宮古島近海,-,ダイビング以外のマリンスポーツがメイン。
宮古島,ダイビングサービスM.O.C,https://www.moc-ds.com/,0980-75-4880,Googleマップ,4.9,30,少人数、ベテラン,伊良部島・下地島エリア,"¥16,000",じっくり潜りたい方向け。
宮古島,海遊,https://www.miyakojima-kaiyu.com/,0980-73-2123,Googleマップ,4.7,65,八重干瀬、釣り,八重干瀬,"¥15,000",ダイビングと釣りのチャーターが可能。
石垣島,ネイチャー石垣島ダイビングサービス,https://www.nature-ishigaki.com/,0980-88-6100,Googleマップ,4.9,72,少人数制、ファンダイビング、体験ダイビング,大崎、名蔵湾、マンタポイント,"¥15,400",市街地送迎あり。初心者も安心の丁寧なガイド。
石垣島,石垣島ダイビングカレッジ,https://www.sevenseas-ishigaki.com/college.html,0980-88-5600,Googleマップ,4.5,133,ライセンス講習専門、プロ育成(IDC),講習内容による,PADI講習料金,大手「シーサー」のプロ育成部門。インストラクターを目指す方向け。
石垣島,石垣潜水堂,https://www.sensuido.com/,0980-88-6360,Googleマップ,4.9,51,1日6名限定、少人数、カメラ派、のんびり,大崎、名蔵湾、竹富島、黒島,"¥16,000",じっくり写真を撮りたいダイバーに人気。
石垣島,ダイビングサービス SUNNY SUNNY,https://www.sunnysunny.net/,0980-83-0785,Googleマップ,4.8,64,少人数制、ファンダイビング、アットホーム,マンタ、大崎、名蔵湾,"¥16,000",オーナー夫婦が運営するアットホームなショップ。
